downloadcount	movie
50	[美国][1973][驱魔人][The.Exorcist.Extended.DC.1973.MiniBD.720p.x264.AC3-CnSCG][艾伦·伯斯汀 / 马克斯·冯·叙多夫][恐怖][Blu-Ray][720P][自带中文字幕]
	
78	[2011][西班牙僵尸胡安][Juan.of.the.Dead.2011.BluRay.720p.x264.AC3-CnSCG][安德烈娅·杜罗 / 约格·莫利纳][喜剧/恐怖][Blu-Ray][720P][自带中文字幕]
	
69	[2011][猎头游戏][Hodejegerne.2011.BluRay.720p.x264.DTS-HDChina][阿卡塞尔·亨涅 / 西诺薇·玛考迪·伦德/瑞典语][惊悚/犯罪/悬疑][Blu-Ray][720P][自带中英字幕]
	
36	[美国][2007][血色将至][There.Will.Be.Blood.2007.RoSubbed.720p.BluRay.x264-WiKi][丹尼尔·戴-刘易斯 / 保罗·达诺 / 凯文·J·奥康纳][剧情/惊悚][Blu-Ray][720P][自带中英字幕]
	
58	[美国][2008][革命之路][Revolutionary.Road.2008.Bluray.720p.AC3.x264][莱昂纳多·迪卡普里奥 / 凯特·温丝莱特][剧情/爱情][Blu-Ray][720P][自带中英字幕]
	
	
	
894	[美国][2018][湮灭/灭绝(台)/遗落的南境1:湮灭][Annihilation.2018.1080p.NF.WEB-DL.DD5.1.x264-NTG][娜塔莉·波特曼/詹妮弗·杰森·李][惊悚/科幻/悬疑][WEB-DL][1080P][自带中文字幕]
	
102	[美国][2017][寻梦环游记/可可夜总会(台)/玩转极乐园(港)][Coco.2017.720p.BluRay.AC3.x264-BMF][安东尼·冈萨雷斯/盖尔·加西亚·贝纳尔/本杰明·布拉特][喜剧/家庭/奇幻/动画/冒险/其他][Blu-Ray][1080P][自带英文字幕]
	
802	[美国][2017][星球大战8:最后的绝地武士/星战8/星球大战:最后绝地武士(港)/星球大战8][Star.Wars.The.Last.Jedi.2017.720p.BluRay.x264-SPARKS][马克·哈米尔/凯丽·费雪/黛西·雷德利][动作/科幻/冒险][Blu-Ray][720P][附件中文字幕]
	
64	[美国][2012][新特警判官/超时空战警3D(台)][Dredd.2012.Blu-Ray.1080p.DTS-HD.MA.7.1.x264-beAst][动作/科幻][Blu-Ray][1080P][附件中文字幕]
	
295	[韩国][2017][骗子/骗徒(台)/骗中骗(港)][The.Swindlers.2017.WEB-DL.1080p.H264.AAC-TTG][剧情/犯罪][WEB-DL][1080P][自带中文字幕]
	
232	[美国][2017][亲爱的篮球/至爱篮球][Dear.Basketball.2017.1080p.WEB-DL.AAC2.0.x264][动画/运动][WEB-DL][1080P][暂无字幕]
	
631	[美国][2017][勇敢者游戏:决战丛林/野蛮游戏:疯狂丛林(台)/逃出魔幻纪:丛林挑机(港)/新勇敢者的游戏/勇敢者的游戏][Jumanji.Welcome.to.the.Jungle.2017.1080p.BluRay.x264-SPARKS][动作/奇幻/冒险][Blu-Ray][1080P][附件中英字幕]
	
316	[英国][2017][帕丁顿熊2/柏灵顿2(港) / 柏灵顿熊熊出任务(台)][Paddington.2.2017.1080p.WEB-DL.DD5.1.H264-FGT][喜剧/家庭][WEB-DL][1080P][附件中英字幕]
	
840	[大陆][2017][前任3:再见前任/前任3/前任攻略3/前任3:颜值大作战][The.Ex-File.The.Return.Of.The.Exes.2017.WEB-DL.4K.H264.AAC-VAM][韩庚 郑凯 于文文][喜剧/爱情][WEB-DL][4K][自带中英字幕]
	
579	[大陆][2017][前任3:再见前任][The.Ex-File.The.Return.Of.The.Exes.2017.WEB-DL.1080P.H264.AAC-VAM][韩庚/郑恺/于文文/曾梦雪/罗米][喜剧/爱情][WEB-DL][1080P][无需字幕]
	
124	[大陆][2017][陈翔六点半之废话少说][Chen Xiang half past six cut the crap][陈翔/闰土/蘑菇头/腿腿/毛台][喜剧][1080P][自带中文字幕]
	
78	[英国][2017][养家之人][The.Breadwinner.2017.HD1080P.X264.AAC.English.CHS-ENG.MF][剧情/家庭/动画][HDTV][1080P][自带中英字幕]
	
99	[韩国][2017][我能说][I.Can.Speak.2017.BluRay.720p.MNHD-FRDS][罗文姬/李帝勋/廉惠兰][剧情/喜剧][Blu-Ray][720P][自带中文字幕]
	
126	[美国][2017][马戏之王(韩文硬字)][The.Greatest.Showman.2017.1080p.KORSUB.HDRip.x264.AAC2.0-STUTTERSHIT][喜剧][WEBRip][1080P][附件中英字幕]
	
39	"[美国][2017][罗曼先生,你好/罗曼律师/贫民区/内城][Roman.J.Israel,.Esq.2017.BluRay.720p.DTS.x264-MTeam][剧情/犯罪][Blu-Ray][720P][暂无字幕]"
	
507	[日本][2017][解忧杂货店][Miracles.of.the.Namiya.General.Store.2017.720p.BluRay.x264-WiKi][剧情][Blu-Ray][720P][自带中文字幕]
	
827	[韩国][2017][ 与神同行:罪与罚][With God][ 河正宇 / 车太贤 / 朱智勋 / 金香起 / 李政宰][剧情/动作/惊悚/奇幻][720P][自带中文字幕]
	
278	[法国][2017][大坏狐狸的故事/谁是大坏狐(台)/大坏狐狸的动物童话/大坏狐狸与其他童话/大坏狐狸与其他故事][Le.Grand.Méchant.Renard.et.autres.contes.2017.720p.Bluray][Guillaume.Darnault/Boris.Rehlinger/Céline.Ronté/Gu][喜剧/动画][Blu-Ray][720P][自带中英字幕]
	
92	"[美国][2017][我,花样女王/冰之骄女(港)][I.Tonya.2017.720p.BluRay.x264-SPARKS][喜剧/运动/传记][Blu-Ray][720P][暂无字幕]"
	
812	[美国][2017][至暗时刻/最黑暗的时刻(台)/黑暗对峙(港)/至暗之时/黑暗时刻][Darkest.Hour.2017.720p.BluRay.x264-WiKi][剧情/传记/战争/其他][Blu-Ray][720P][附件中英字幕]
	
150	[美国][2017][正义联盟][Justice.League.2017.BluRay.1080p.Atmos.TrueHD.7.1.x264-MTeam][动作/科幻/奇幻/冒险][Blu-Ray][1080P][附件中英字幕]
	
1707	[美国][2017][水形物语/忘形水(港)/水底情深(台)][The.Shape.of.Water.2017.720p.BluRay.DTS.x264-SPARKS][剧情/冒险/其他][Blu-Ray][720P][附件中英字幕]
	
740	[大陆][2017][芳华][Youth.2018.WEB-DL.1080p.H264.AAC-MTTV][黄轩/苗苗/钟楚曦/杨采钰/李晓峰][剧情/战争][WEB-DL][1080P][自带中英字幕]
	
83	[法国][2017][每分钟120击/心动120(港)/BPM(台)/心跳120/120拍的节奏][120 Battements Par Minute 2017 720p BluRay DD5.1 x264-BMDru][剧情][Blu-Ray][720P][自带中英字幕]
	
181	[美国][2017][请以你的名字呼唤我/以你的名字呼唤我(港/台)/以你的名义呼唤我/唤吾汝名][Call Me by Your Name 2017 720p BluRay DTS x264-SPARKS][剧情/爱情][Blu-Ray][720P][暂无字幕]
	
251	[美国][2017][伯德小姐/淑女鸟(台)/不得鸟小姐(港)/大鸟萌妹(豆友译名)/伯德夫人/柏德小姐/小仙鸟/青春鸟][Lady.Bird.2017.720p.BluRay.x264.DTS-HDChina][剧情/喜剧/家庭][Blu-Ray][720P][附件中英字幕]
	
907	[印度][2017][神秘巨星][Secret.Superstar.2017.4K.WEB-DL.AAC.H264-OurTV][剧情/音乐][WEB-DL][4K][自带中文字幕]
	
1755	[美国][2017][三块广告牌/意外(台)/广告牌杀人事件(港)][Three.Billboards.Outside.Ebbing.Missouri.2017.720p.BluRay.x264.DTS-WiKi][剧情/犯罪][Blu-Ray][720P][附件中英字幕]
	
852	[大陆][2017][芳华][Youth.2017.WEB-DL.4K.H264.AAC-NYHD][黄轩/苗苗/钟楚曦 ][剧情][Blu-Ray][4K][无需字幕]
	
496	[英国][2017][????三块广告牌/意外(台)/广告牌杀人事件(港)][Three Billboards Outside Ebbing Missouri.2017.720p.WEB-DL.H264.AC3-EVO][剧情/犯罪][WEB-DL][720P][附件中英字幕]
	
113	[美国][2017][老爸当家2][Daddy's Home 2][威尔·法瑞尔/马克·沃尔伯格/梅尔·吉布森/约翰·利思戈/琳达·卡德里尼][喜剧][HDTV][720P][自带中英字幕]
	
